Date,Close,Daily_Return,Volatility_7d,News_Sentiment,Tweet_Sentiment
2014-09-24,423.2,-0.02889006172697861,0.05654104822413041,0.0,0.0
2014-09-25,411.57,-0.02748109640831753,0.050564028124829484,0.0,0.0
2014-09-26,404.42,-0.017372500425201,0.042267319097336005,0.0,0.0
2014-09-27,399.52,-0.012116116908164831,0.040133728303385414,0.0,0.0
2014-09-28,377.18,-0.05591710052062471,0.044494030445582124,0.0,0.0
2014-09-29,375.47,-0.004533644413807658,0.044011766133051404,0.0,0.0
2014-09-30,386.94,0.03054837936452981,0.026471744242155645,0.0,0.0
2014-10-01,383.61,-0.00860598542409674,0.026000201417355102,0.0,0.0
2014-10-02,375.07,-0.022262193373478345,0.025609032367647878,0.0,0.0
2014-10-03,359.51,-0.041485589356653474,0.027836685138441702,0.0,0.0
2014-10-04,328.87,-0.08522711468387523,0.0378889582039488,0.0,0.0
2014-10-05,320.51,-0.025420378873110994,0.035668976125055825,0.0,0.0
2014-10-06,330.08,0.02985866275623228,0.040575594824375526,0.0,0.0
2014-10-07,336.19,0.018510664081434758,0.03839568019307447,0.0,0.0
2014-10-08,352.94,0.049823016746482596,0.04657159052213961,0.0,0.0
2014-10-09,365.03,0.034255114183713964,0.049101053259660944,0.0,0.0
2014-10-10,361.56,-0.009506067994411338,0.04631155530366244,0.0,0.0
2014-10-11,362.3,0.00204668658037388,0.026502935568745348,0.0,0.0
2014-10-12,378.55,0.04485233232128061,0.021891371027183158,0.0,0.0
2014-10-13,390.41,0.03133007528728049,0.021961010219555013,0.0,0.0
2014-10-14,400.87,0.026792346507517717,0.02180881227461351,0.0,0.0
2014-10-15,394.77,-0.015216903235462875,0.02357968826438298,0.0,0.0
2014-10-16,382.56,-0.030929401930237854,0.027825902386850943,0.0,0.0
2014-10-17,383.76,0.0031367628607277265,0.026969092710338257,0.0,0.0
2014-10-18,391.44,0.02001250781738584,0.027067447984006877,0.0,0.0
2014-10-19,389.55,-0.004828326180257525,0.023058287402210977,0.0,0.0
2014-10-20,382.85,-0.01719933256321393,0.02076853811053134,0.0,0.0
2014-10-21,386.48,0.009481520177615277,0.017450295693550576,0.0,0.0
